DATE,AVELISPRI14580
7/1/2016,965618
8/1/2016,972241
9/1/2016,959720
10/1/2016,1007389
11/1/2016,1037608
12/1/2016,1084461
1/1/2017,1143814
2/1/2017,1152662
3/1/2017,1114991
4/1/2017,1139634
5/1/2017,1091177
6/1/2017,1023523
7/1/2017,1047682
8/1/2017,1023828
9/1/2017,1044097
10/1/2017,1064363
11/1/2017,1037356
12/1/2017,1036348
1/1/2018,1050813
2/1/2018,1029678
3/1/2018,1006336
4/1/2018,961326
5/1/2018,958986
6/1/2018,972574
7/1/2018,933980
8/1/2018,906710
9/1/2018,886277
10/1/2018,876829
11/1/2018,918089
12/1/2018,959959
1/1/2019,1069816
2/1/2019,1085527
3/1/2019,1096955
4/1/2019,1097650
5/1/2019,1054601
6/1/2019,1046135
7/1/2019,1063479
8/1/2019,1082346
9/1/2019,1076289
10/1/2019,1079393
11/1/2019,1103537
12/1/2019,1131483
1/1/2020,1220964
2/1/2020,1270150
3/1/2020,1229442
4/1/2020,1200537
5/1/2020,1221338
6/1/2020,1331907
7/1/2020,1416029
8/1/2020,1481117
9/1/2020,1685507
10/1/2020,1741304
11/1/2020,1934802
12/1/2020,2039610
1/1/2021,2237352
2/1/2021,2334842
3/1/2021,2158491
4/1/2021,2052542
5/1/2021,2067993
6/1/2021,1880699
7/1/2021,1883053
8/1/2021,1799526
9/1/2021,2044492
10/1/2021,2121536
11/1/2021,2734004
12/1/2021,2994937
1/1/2022,3312909
2/1/2022,2972632
3/1/2022,2648782
4/1/2022,2233404
5/1/2022,1972334
6/1/2022,1858815
7/1/2022,1854733
8/1/2022,1826157
9/1/2022,1849016
10/1/2022,1813553
11/1/2022,1874646
12/1/2022,1929297
1/1/2023,2103091
2/1/2023,2206227
3/1/2023,2206170
4/1/2023,2154307
5/1/2023,2118535
6/1/2023,2059543
7/1/2023,2201506
8/1/2023,2118420
9/1/2023,2152457
